algorithm,dataset,size,batch,run_in_batch,seed,runs,runtime,emissions_per_run,cpu_energy_per_run,ram_energy_per_run,energy_consumed_per_run
tim_sort,almost_sorted,1000,0,0,42,150009,1.3332589597957868e-05,5.109757825616902e-13,9.282305015402703e-11,3.6953355354234976e-11,1.2977640550826203e-10
quick_sort,unsorted,1000,0,0,42,1670,0.0011977850119760552,4.590707220638964e-11,8.339533732535102e-09,3.31983452262133e-09,1.165936825515643e-08
insertion_sort,reverse_sorted,10000,0,0,42,2,1.4601313994999714,5.591149021249966e-08,1.0156957180555142e-05,4.043309199999909e-06,1.4200266380555051e-05
insertion_sort,unsorted,10000,0,0,42,2,1.3880668080000191,5.3153713195641395e-08,9.6565608368056e-06,3.843291941666551e-06,1.349985277847215e-05
merge_sort,reverse_sorted,1000,0,0,42,2179,0.000918207985314374,3.519015066712707e-11,6.392592693514175e-09,2.544917495283397e-09,8.937510188797575e-09
merge_sort,unsorted,10000,0,0,42,125,0.016001267687999643,6.132049123715667e-10,1.1139261244443965e-07,4.434770262222021e-08,1.5574031506665985e-07
merge_sort,unsorted,1000,0,0,42,1601,0.0012494685309181878,4.7882029526044685e-11,8.69789043739992e-09,3.463072747935262e-09,1.216096318533518e-08
bubble_sort,reverse_sorted,10000,0,0,42,1,4.254723330000047,1.6279760830886038e-07,2.957887789583364e-05,1.1768068775000351e-05,4.134694667083399e-05
tim_sort,almost_sorted,10000,0,0,42,13484,0.00014833355962622658,5.684293523118218e-12,1.0326293781312732e-09,4.110538774349845e-10,1.4436832555662573e-09
tim_sort,unsorted,10000,0,0,42,1747,0.0011448924962792978,4.387547111489556e-11,7.97048948594465e-09,3.172897589518725e-09,1.1143387075463378e-08
merge_sort,sorted,10000,0,0,42,186,0.010771683688172103,4.1280505311469986e-10,7.498942682198206e-08,2.985381193249869e-08,1.0484323875448073e-07
merge_sort,sorted,1000,0,0,42,2224,0.000899416467176236,3.4467969684262933e-11,6.26125355965248e-09,2.4928388326838353e-09,8.754092392336317e-09
quick_sort,almost_sorted,1000,0,0,42,2341,0.0008546030692011523,3.275408277758967e-11,5.950092707295199e-09,2.3687107931084027e-09,8.3188035004036e-09
merge_sort,reverse_sorted,10000,0,0,42,179,0.011229685664804553,4.303543672897093e-10,7.817542054625012e-08,3.112495099317422e-08,1.0930037153942436e-07
tim_sort,reverse_sorted,1000,0,0,42,300117,6.664086906106718e-06,2.5490728294910397e-13,4.6393033892708536e-11,1.8347707347838063e-11,6.474074124054661e-11
merge_sort,sorted,10000,0,1,43,184,0.010904023451086894,4.178987829745878e-10,7.591315323067418e-08,3.0223778834539074e-08,1.0613693206521326e-07
merge_sort,sorted,1000,0,1,43,2185,0.0009156399290617986,3.498919583762358e-11,6.374164206712416e-09,2.512307955758851e-09,8.886472162471268e-09
bubble_sort,reverse_sorted,1000,0,1,43,54,0.03761287035185298,1.440224840383728e-09,2.6179522183641613e-07,1.0398963389917881e-07,3.6578485573559493e-07
bubble_sort,sorted,1000,0,1,43,115,0.0173945608695654,6.665930410118429e-10,1.2109091781400523e-07,4.8208786304348576e-08,1.6929970411835382e-07
bubble_sort,almost_sorted,1000,0,1,43,113,0.01782453988495635,6.832468848244744e-10,1.2412485551867415e-07,4.9404551966567465e-08,1.7352940748524163e-07
quick_sort,unsorted,10000,0,1,43,138,0.014580344782609205,5.587555054336379e-10,1.0150243463164125e-07,4.0408950462964755e-08,1.41911385094606e-07
tim_sort,sorted,1000,0,1,43,305943,6.537175316970559e-06,2.5051456605050367e-13,4.5507523278666296e-11,1.811756624418483e-11,6.362508952285111e-11
bubble_sort,unsorted,1000,0,1,43,67,0.02997509955223823,1.1488410691475684e-09,2.087013389303588e-07,8.307856442785979e-08,2.917799033582186e-07
tim_sort,reverse_sorted,10000,0,1,43,19345,0.00010338882827604395,3.962331731664259e-12,7.197845193991867e-10,2.8655900433646756e-10,1.0063435237356546e-09
insertion_sort,almost_sorted,1000,0,1,43,180,0.011142545855555379,4.2701751998506247e-10,7.756958279321433e-08,3.088330425926227e-08,1.0845288705247661e-07
tim_sort,reverse_sorted,1000,0,1,43,292504,6.83751932623141e-06,2.620317578620366e-13,4.759951103232862e-11,1.8950687284048306e-11,6.655019831637694e-11
quick_sort,reverse_sorted,1000,0,1,43,2395,0.0008351005795407076,3.2002690522896215e-11,5.813549417188137e-09,2.3144172778936923e-09,8.12796669508183e-09
quick_sort,sorted,10000,0,1,43,187,0.010712093048128094,4.105365726306302e-10,7.45770524361299e-08,2.9690043077838923e-08,1.0426709551396882e-07
merge_sort,unsorted,10000,0,1,43,126,0.015923339396825515,6.102138000282994e-10,1.1084599233906396e-07,4.4134647178131314e-08,1.549806395171953e-07
tim_sort,unsorted,1000,0,1,43,31268,6.396340440706164e-05,2.4512714248139485e-12,4.452867805921431e-10,1.7728126528009722e-10,6.225680458722402e-10
quick_sort,sorted,1000,0,1,43,2380,0.0008405066840335916,3.2211789021749955e-11,5.851480170401904e-09,2.3295928606443612e-09,8.181073031046266e-09
insertion_sort,almost_sorted,10000,0,1,43,2,1.3207223020000356,5.057444106326296e-08,9.188898701388838e-06,3.6558767180554553e-06,1.2844775419444294e-05
merge_sort,reverse_sorted,1000,0,1,43,2157,0.0009275774501622359,3.555310624822628e-11,6.458630556843251e-09,2.571062221191867e-09,9.029692778035117e-09
quick_sort,almost_sorted,1000,0,1,43,2330,0.0008585722944206012,3.290227137173488e-11,5.97682267525027e-09,2.379617409394319e-09,8.356440084644588e-09
tim_sort,almost_sorted,1000,0,1,43,128291,1.5589599075538467e-05,5.974247143523123e-13,1.0852468714788234e-10,4.320781101817872e-11,1.5173249816606107e-10
tim_sort,almost_sorted,10000,0,1,43,13615,0.00014690380705104593,5.629983777677198e-12,1.022743989982431e-09,4.0714580650427924e-10,1.4298897964867103e-09
quick_sort,reverse_sorted,10000,0,1,43,183,0.01094602733879742,4.1946776677998274e-10,7.619725823467163e-08,3.0338160579843155e-08,1.065354188145148e-07
insertion_sort,unsorted,1000,0,1,43,172,0.01164818917441827,4.4648486182743634e-10,8.111169718992114e-08,3.22854587209311e-08,1.1339715591085223e-07
insertion_sort,reverse_sorted,1000,0,1,43,162,0.012401462864197388,4.752687226987706e-10,8.633757840363292e-08,3.4370033556240935e-08,1.2070761195987385e-07
tim_sort,unsorted,10000,0,1,43,1756,0.0011389620899772612,4.3662185646176876e-11,7.932505058055377e-09,3.1567122848647267e-09,1.1089217342920103e-08
tim_sort,sorted,10000,0,1,43,24214,8.25977596018807e-05,3.1654617598067015e-12,5.750354544088187e-10,2.2892094231527646e-10,8.039563967240951e-10
insertion_sort,reverse_sorted,10000,0,1,43,2,1.4580499305000103,5.583102706773208e-08,1.0142346475694256e-05,4.037484068055619e-06,1.4179830543749878e-05
quick_sort,unsorted,1000,0,1,43,1628,0.0012288406799753893,4.70962692952931e-11,8.55558643444538e-09,3.405811249317383e-09,1.1961397683762764e-08
merge_sort,reverse_sorted,10000,0,1,43,177,0.011312891141242957,4.335825850885782e-10,7.876505018047405e-08,3.1355216384179616e-08,1.1012026656465369e-07
bubble_sort,reverse_sorted,10000,0,1,43,1,4.324740788000099,1.654731223667534e-07,3.006678934027857e-05,1.1959677983333624e-05,4.20264673236122e-05
bubble_sort,unsorted,10000,0,1,43,1,3.3059969089999868,1.2652706103875654e-07,2.299133927083277e-05,9.14370066944438e-06,3.213503994027715e-05
merge_sort,almost_sorted,10000,0,1,43,151,0.013298618139072682,5.097033913781705e-10,9.259324931015226e-08,3.6859997332596046e-08,1.2945324664274835e-07
insertion_sort,unsorted,10000,0,1,43,2,1.3914746710000259,5.3282636384627574e-08,9.6802528090277e-06,3.852343572222278e-06,1.3532596381249976e-05
merge_sort,almost_sorted,1000,0,1,43,1923,0.0010400602392095734,3.9857660178061256e-11,7.240430003033116e-09,2.882523073033845e-09,1.0122953076066962e-08
quick_sort,almost_sorted,10000,0,1,43,182,0.011043009994505856,4.231857723273369e-10,7.687801999389991e-08,3.060168896520144e-08,1.0747970895910134e-07
bubble_sort,almost_sorted,10000,0,1,43,1,2.0260653610000645,7.764409402902001e-08,1.4104235125000428e-05,5.615625924999929e-06,1.971986105000036e-05
insertion_sort,sorted,10000,0,1,43,2,1.323995565500013,5.069601020271292e-08,9.211129701388722e-06,3.664521556944559e-06,1.287565125833328e-05
merge_sort,unsorted,1000,0,1,43,1610,0.0012425012031056168,4.761523383166088e-11,8.649596704624024e-09,3.443606349206235e-09,1.2093203053830262e-08
bubble_sort,sorted,10000,0,1,43,2,1.9757989940000016,7.562639641009592e-08,1.3738300878472784e-05,5.46911016250012e-06,1.9207411040972903e-05
insertion_sort,sorted,1000,0,1,43,183,0.010962959677595677,4.201542701487578e-10,7.632380096387677e-08,3.0385974332118015e-08,1.0670977529599479e-07
bubble_sort,unsorted,10000,0,2,44,1,3.3435490670000263,1.2796089352786251e-07,2.3251502298611133e-05,9.247698983333268e-06,3.24992012819444e-05
quick_sort,unsorted,1000,0,2,44,1695,0.001180529033628295,4.52389718891991e-11,8.218113180105088e-09,3.2715725565389303e-09,1.1489685736644018e-08
insertion_sort,unsorted,10000,0,2,44,2,1.3972106625000151,5.350283789985445e-08,9.720027666666514e-06,3.868494968055498e-06,1.358852263472201e-05
quick_sort,sorted,10000,0,2,44,189,0.010631914761904622,4.074645122328765e-10,7.401836952528115e-08,2.946849144620889e-08,1.0348686097149003e-07
tim_sort,almost_sorted,1000,0,2,44,173577,1.1522270623412317e-05,4.415637630259232e-13,8.021300953211703e-11,3.193429749077096e-11,1.1214730702288797e-10
insertion_sort,reverse_sorted,10000,0,2,44,2,1.4519288574999791,5.5598028347525186e-08,1.010010256597206e-05,4.020551520833256e-06,1.4120654086805315e-05
insertion_sort,almost_sorted,10000,0,2,44,2,1.3553114295000341,5.1899385419439665e-08,9.429290229166538e-06,3.7519913847221336e-06,1.318128161388867e-05
bubble_sort,almost_sorted,1000,0,2,44,114,0.017630903491227888,6.756536893050532e-10,1.2273571832358904e-07,4.88651875487353e-08,1.7160090587232432e-07
bubble_sort,unsorted,1000,0,2,44,65,0.031118842584615218,1.1916259288193165e-09,2.165906672008546e-07,8.605563235042537e-08,3.0264629955128e-07
bubble_sort,almost_sorted,10000,0,2,44,1,2.0397679829999333,7.812568735456939e-08,1.4200112958334107e-05,5.642062011111194e-06,1.9842174969445305e-05
tim_sort,almost_sorted,10000,0,2,44,13085,0.00015285494054259914,5.85788706564511e-12,1.0641178639663424e-09,4.2365426378803265e-10,1.4877721277543753e-09
tim_sort,sorted,1000,0,2,44,302288,6.6162152781453195e-06,2.5355470852505845e-13,4.606035644080592e-11,1.8336861186830838e-11,6.439721762763675e-11
tim_sort,sorted,10000,0,2,44,24347,8.214623321148425e-05,3.1480230652110775e-12,5.718549598855567e-10,2.2767239894944204e-10,7.995273588349989e-10
merge_sort,unsorted,10000,0,2,44,127,0.0158620750314962,6.078277963629354e-10,1.1041234301180945e-07,4.396230500874763e-08,1.5437464802055704e-07
merge_sort,almost_sorted,10000,0,2,44,149,0.013475901402685031,5.164361449786302e-10,9.381306855891152e-08,3.735014671886695e-08,1.311632152777785e-07
bubble_sort,reverse_sorted,1000,0,2,44,53,0.03783590705660237,1.4500215803149874e-09,2.634050351153024e-07,1.0486797316561329e-07,3.682730082809157e-07
insertion_sort,sorted,10000,0,2,44,2,1.4006093659999692,5.3647323025225916e-08,9.747150236111205e-06,3.878068384722156e-06,1.362521862083336e-05
merge_sort,unsorted,1000,0,2,44,1435,0.0013940951296167077,5.33783465301414e-11,9.705675116144241e-09,3.851229498645074e-09,1.3556904614789317e-08
merge_sort,reverse_sorted,1000,0,2,44,2156,0.0009279069944341772,3.5560758053542034e-11,6.459785095856603e-09,2.5718510693671386e-09,9.031636165223743e-09
insertion_sort,sorted,1000,0,2,44,180,0.011115359338889321,4.259631108917014e-10,7.737948032407344e-08,3.0805610432098075e-08,1.081850907561715e-07
insertion_sort,reverse_sorted,1000,0,2,44,161,0.012488715478260793,4.789320089311022e-10,8.702154994824059e-08,3.461645467563883e-08,1.2163800462387943e-07
quick_sort,unsorted,10000,0,2,44,131,0.015313929221374287,5.857004060773403e-10,1.066141213952494e-07,4.21406650339292e-08,1.4875478642917863e-07
